curso_pibic_norm,campus,area_conhecimento,total_projetos,total_remuneradas,total_voluntarias_pivic,total_cotistas,total_cotistas_ppi,total_baixa_renda,valor_total_investido,taxa_cotistas_pct,taxa_voluntario_pct
CIENCIAS BIOLOGICAS,DARCY RIBEIRO,CIENCIAS BIOLOGICAS,574,415,120,222,222,90,2028000.0,38.7,20.9
MEDICINA,DARCY RIBEIRO,CIENCIAS DA SAUDE,560,357,167,253,253,114,1800000.0,45.2,29.8
DIREITO,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,452,228,205,188,188,105,1101600.0,41.6,45.4
ARQUITETURA E URBANISMO,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,411,283,116,158,158,47,1369200.0,38.4,28.2
AGRONOMIA,DARCY RIBEIRO,CIENCIAS AGRARIAS,407,315,58,172,172,48,1558800.0,42.3,14.3
CIENCIAS SOCIAIS,DARCY RIBEIRO,CIENCIAS HUMANAS,382,277,94,184,184,64,1340400.0,48.2,24.6
FARMACIA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,371,249,98,119,119,46,1220400.0,32.1,26.4
FISIOTERAPIA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,367,230,106,149,149,69,1104000.0,40.6,28.9
FARMACIA,DARCY RIBEIRO,CIENCIAS DA SAUDE,326,249,58,144,144,55,1231200.0,44.2,17.8
HISTORIA,DARCY RIBEIRO,CIENCIAS HUMANAS,308,195,98,130,130,51,964800.0,42.2,31.8
FISICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,303,197,84,83,83,48,992400.0,27.4,27.7
ENFERMAGEM,DARCY RIBEIRO,CIENCIAS DA SAUDE,301,225,64,175,175,85,1101600.0,58.1,21.3
ENFERMAGEM,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,299,225,59,132,132,54,1119600.0,44.1,19.7
MEDICINA VETERINARIA,DARCY RIBEIRO,CIENCIAS AGRARIAS,281,184,73,112,112,58,926400.0,39.9,26.0
BIOTECNOLOGIA,DARCY RIBEIRO,CIENCIAS BIOLOGICAS,256,175,53,69,69,20,843600.0,27.0,20.7
GEOLOGIA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,255,168,57,87,87,40,882000.0,34.1,22.4
PSICOLOGIA,DARCY RIBEIRO,CIENCIAS HUMANAS,252,189,50,102,102,48,918000.0,40.5,19.8
ODONTOLOGIA,DARCY RIBEIRO,CIENCIAS DA SAUDE,246,174,48,117,117,45,853200.0,47.6,19.5
PEDAGOGIA,DARCY RIBEIRO,CIENCIAS HUMANAS,238,175,53,127,127,49,865200.0,53.4,22.3
FILOSOFIA,DARCY RIBEIRO,CIENCIAS HUMANAS,223,137,75,92,92,39,675600.0,41.3,33.6
LETRAS - LINGUA PORTUGUESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",218,132,71,75,75,24,658800.0,34.4,32.6
ENGENHARIA FLORESTAL,DARCY RIBEIRO,CIENCIAS AGRARIAS,187,138,34,69,69,14,684000.0,36.9,18.2
ENGENHARIA AEROESPACIAL,FACULDADE DE CIENCIAS E TECNOLOGIAS EM ENGENHARIA (FCTE),ENGENHARIAS,187,133,42,58,58,7,638400.0,31.0,22.5
ENGENHARIA CIVIL,DARCY RIBEIRO,ENGENHARIAS,187,130,45,78,78,32,627600.0,41.7,24.1
SERVICO SOCIAL,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,180,137,39,81,81,25,679200.0,45.0,21.7
GEOGRAFIA,DARCY RIBEIRO,CIENCIAS HUMANAS,169,101,59,89,89,42,495600.0,52.7,34.9
QUIMICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,165,114,39,41,41,8,579600.0,24.8,23.6
FONOAUDIOLOGIA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,162,98,49,77,77,28,470400.0,47.5,30.2
ENGENHARIA QUIMICA,DARCY RIBEIRO,ENGENHARIAS,157,113,29,50,50,18,585600.0,31.8,18.5
ENGENHARIA MECANICA,DARCY RIBEIRO,ENGENHARIAS,153,119,24,38,38,17,589200.0,24.8,15.7
RELACOES INTERNACIONAIS,DARCY RIBEIRO,CIENCIAS HUMANAS,141,93,45,65,65,37,446400.0,46.1,31.9
ENGENHARIA ELETRICA,DARCY RIBEIRO,ENGENHARIAS,141,99,32,34,34,15,504000.0,24.1,22.7
CIENCIAS CONTABEIS,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,129,73,48,54,54,27,350400.0,41.9,37.2
COMUNICACAO SOCIAL,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,125,88,37,55,55,22,422400.0,44.0,29.6
ENGENHARIA AMBIENTAL,DARCY RIBEIRO,ENGENHARIAS,125,98,17,35,35,16,470400.0,28.0,13.6
ENGENHARIA ELETRONICA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM ENGENHARIA (FCTE),ENGENHARIAS,124,91,27,39,39,14,444000.0,31.5,21.8
MATEMATICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,122,85,30,44,44,8,415200.0,36.1,24.6
NUTRICAO,DARCY RIBEIRO,CIENCIAS DA SAUDE,122,99,15,44,44,23,504000.0,36.1,12.3
LETRAS - LINGUA INGLESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",121,67,52,57,57,17,332400.0,47.1,43.0
ENGENHARIA MECATRONICA - CONTROLE E AUTOMACAO,DARCY RIBEIRO,ENGENHARIAS,120,92,22,43,43,21,441600.0,35.8,18.3
ENGENHARIA DE SOFTWARE,FACULDADE DE CIENCIAS E TECNOLOGIAS EM ENGENHARIA (FCTE),ENGENHARIAS,119,90,23,39,39,16,432000.0,32.8,19.3
ARTES VISUAIS,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",116,85,24,39,39,13,411600.0,33.6,20.7
ADMINISTRACAO,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,116,88,26,50,50,16,447600.0,43.1,22.4
EDUCACAO FISICA,DARCY RIBEIRO,CIENCIAS DA SAUDE,112,87,23,58,58,15,446400.0,51.8,20.5
TERAPIA OCUPACIONAL,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,109,80,21,53,53,16,398400.0,48.6,19.3
BIBLIOTECONOMIA,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,105,63,35,47,47,20,306000.0,44.8,33.3
CIENCIAS NATURAIS,FACULDADE DE PLANALTINA (FUP),CIENCIAS HUMANAS,100,75,21,39,39,15,360000.0,39.0,21.0
QUIMICA TECNOLOGICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,95,67,18,16,16,8,321600.0,16.8,18.9
CIENCIA DA COMPUTACAO,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,93,61,26,36,36,14,318000.0,38.7,28.0
CIENCIAS AMBIENTAIS,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,87,67,17,21,21,4,325200.0,24.1,19.5
ENGENHARIA DE COMPUTACAO,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,84,62,21,21,21,10,315600.0,25.0,25.0
GEOFISICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,84,47,31,22,22,7,240000.0,26.2,36.9
"TEORIA, CRITICA E HISTORIA DA ARTE",DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",81,51,27,30,30,10,248400.0,37.0,33.3
SAUDE COLETIVA,DARCY RIBEIRO,CIENCIAS DA SAUDE,79,48,25,28,28,7,234000.0,35.4,31.6
MUSEOLOGIA,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,77,49,24,26,26,4,235200.0,33.8,31.2
LINGUAS ESTRANGEIRAS APLICADAS - MSI,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",75,48,20,26,26,9,234000.0,34.7,26.7
SAUDE COLETIVA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),CIENCIAS DA SAUDE,72,49,19,31,31,7,238800.0,43.1,26.4
ARTES CENICAS,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",71,62,4,22,22,11,304800.0,31.0,5.6
ESTATISTICA,DARCY RIBEIRO,CIENCIAS EXATAS E DA TERRA,68,40,24,14,14,3,199200.0,20.6,35.3
LETRAS - LINGUA FRANCESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",60,35,22,25,25,5,171600.0,41.7,36.7
JORNALISMO,DARCY RIBEIRO,CIENCIAS HUMANAS,58,41,16,34,34,12,196800.0,58.6,27.6
ARQUIVOLOGIA,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,57,36,19,31,31,13,172800.0,54.4,33.3
LETRAS - LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA,DARCY RIBEIRO,"LINGUISTICA, LETRAS E ARTES",54,26,28,22,22,10,124800.0,40.7,51.9
CIENCIAS ECONOMICAS,DARCY RIBEIRO,CIENCIAS SOCIAIS APLICADAS,52,33,16,15,15,7,165600.0,28.8,30.8
